345.25,-35.00,58.00,-11.960,-13.080,5.990
132747,337.50,-10.44,38.38,6.780,-0.470,4.450
132760,337.63,-11.00,38.56,4.350,-1.210,1.850
132772,337.88,-11.63,38.75,4.890,-1.510,2.370
132786,338.06,-12.06,39.19,5.000,-2.520,4.800
132798,338.25,-12.56,40.00,4.880,-3.740,6.510
132810,338.06,-12.88,40.44,3.420,-4.730,6.330
132822,337.69,-13.31,40.75,2.560,-4.200,7.420
132836,337.31,-13.94,41.06,-1.430,-4.630,8.310
132848,336.69,-15.31,41.44,-6.300,-6.630,8.060
132860,336.50,-16.00,41.75,-12.140,-11.330,8.900
132872,336.31,-16.62,41.88,-13.570,-11.910,8.310
132886,336.06,-17.19,42.00,-16.000,-12.920,8.990
132922,335.25,-17.37,41.63,-8.650,-10.930,9.590
132936,335.31,-16.81,41.37,-8.080,-9.720,7.580
132948,335.81,-15.25,40.63,-4.380,-8.720,6.230
132960,336.06,-14.50,40.38,-2.360,-7.100,6.180
132972,336.37,-13.81,40.12,1.720,-5.050,6.310
132986,336.62,-13.31,39.94,4.710,-3.020,6.900
132998,335.63,-12.25,39.63,11.050,0.180,6.510
133010,334.75,-11.94,39.63,6.420,-0.170,5.890
133022,334.44,-12.06,39.56,1.510,-2.500,3.620
133036,334.50,-12.56,39.63,1.760,-2.200,1.580
133048,334.56,-13.62,40.25,4.480,-2.590,4.280
133061,334.69,-13.88,40.63,3.210,-3.270,4.920
133073,334.87,-14.31,41.00,2.820,-4.470,4.120
133087,334.87,-14.69,41.31,2.140,-5.170,5.340
133099,334.06,-15.81,41.94,0.240,-5.260,7.950
133111,333.63,-16.50,42.06,-2.790,-7.270,8.780
133123,333.31,-17.19,42.25,-5.180,-8.670,9.610
133137,333.06,-17.81,42.38,-6.000,-9.910,10.100
133149,332.75,-18.81,42.31,-12.670,-12.230,10.630
133161,332.62,-19.25,42.19,-17.150,-12.850,10.520
133173,332.62,-19.37,41.94,-15.990,-13.470,9.170
133187,332.31,-19.37,41.63,-15.120,-12.290,9.500
133199,331.81,-18.75,41.00,-9.730,-11.330,7.770
133211,331.94,-17.87,40.50,-10.530,-11.400,7.430
133223,332.25,-16.94,39.94,-5.640,-7.740,7.120
133237,332.62,-15.94,39.44,-2.340,-6.940,7.740
133249,333.38,-14.06,38.63,4.160,-2.090,7.630
133261,333.19,-13.06,38.19,13.310,1.570,6.130
